Día;Mes;Horario;Hora;Edad;Sexo
Lunes;1;Mañana;11;44;Hombre
Lunes;1;Mañana;13;33;Mujer
Lunes;1;Mañana;12;30;Mujer
Lunes;1;Mañana;12;42;Mujer
Lunes;1;Tarde;16;69;Hombre
Lunes;1;Tarde;14;22;Hombre
Lunes;1;Tarde;14;20;Mujer
Lunes;1;Tarde;16;81;Mujer
Lunes;1;Tarde;17;12;Mujer
Lunes;1;Mañana;12;20;Hombre
Lunes;1;Tarde;17;54;Mujer
Lunes;1;Tarde;15;26;Mujer
Lunes;1;Tarde;15;40;Hombre
Lunes;1;Tarde;14;46;Hombre
Lunes;1;Noche;23;37;Hombre
Martes;1;Mañana;8;53;Mujer
Martes;1;Mañana;8;57;Hombre
Martes;1;Mañana;7;51;Hombre
Martes;1;Mañana;9;58;Hombre
Martes;1;Mañana;9;39;Hombre
Martes;1;Mañana;10;42;Mujer
Martes;1;Tarde;14;58;Hombre
Martes;1;Tarde;14;42;Mujer
Martes;1;Tarde;16;76;Mujer
Martes;1;Tarde;16;54;Mujer
Martes;1;Tarde;16;42;Mujer
Martes;1;Tarde;16;49;Mujer
Martes;1;Tarde;18;81;Hombre
Martes;1;Tarde;18;33;Hombre
Martes;1;Noche;23;29;Hombre
Miércoles;1;Noche;5;54;Hombre
Miércoles;1;Mañana;8;30;Hombre
Miércoles;1;Mañana;8;53;Mujer
Miércoles;1;Mañana;11;51;Mujer
Miércoles;1;Mañana;11;27;Hombre
Miércoles;1;Mañana;12;41;Hombre
Miércoles;1;Mañana;13;58;Hombre
Miércoles;1;Mañana;13;29;Mujer
Miércoles;1;Tarde;14;28;Hombre
Miércoles;1;Tarde;14;4;Hombre
Miércoles;1;Tarde;16;24;Hombre
Miércoles;1;Tarde;16;61;Hombre
Miércoles;1;Tarde;16;59;Hombre
Miércoles;1;Tarde;17;38;Hombre
Miércoles;1;Tarde;18;38;Hombre
Miércoles;1;Tarde;19;44;Mujer
Miércoles;1;Tarde;19;42;Mujer
Miércoles;1;Tarde;20;52;Hombre
Miércoles;1;Tarde;20;35;Hombre
Miércoles;1;Tarde;20;37;Hombre
Miércoles;1;Tarde;21;20;Hombre
Miércoles;1;Tarde;20;23;Hombre
Miércoles;1;Tarde;20;63;Hombre
Miércoles;1;Noche;23;26;Hombre
Miércoles;1;Noche;22;14;Mujer
Lunes;1;Noche;23;42;Hombre
Viernes;1;Tarde;19;20;Hombre
Jueves;1;Mañana;10;46;Mujer
Jueves;1;Mañana;11;16;Mujer
Jueves;1;Mañana;11;26;Hombre
Jueves;1;Mañana;9;7;Mujer
Jueves;1;Mañana;11;75;Mujer
Jueves;1;Mañana;13;35;Mujer
Miércoles;1;Tarde;17;51;Mujer
Jueves;1;Tarde;15;28;Hombre
Jueves;1;Tarde;14;30;Mujer
Jueves;1;Mañana;13;53;Hombre
Jueves;1;Mañana;12;22;Mujer
Jueves;1;Tarde;14;36;Mujer
Jueves;1;Tarde;14;27;Hombre
Jueves;1;Tarde;14;35;Mujer
Jueves;1;Tarde;14;36;Mujer
Jueves;1;Tarde;14;50;Mujer
Jueves;1;Tarde;14;71;Mujer
Jueves;1;Tarde;14;71;Hombre
Jueves;1;Tarde;14;56;Hombre
Jueves;1;Mañana;13;73;Hombre
Jueves;1;Tarde;15;36;Hombre
Jueves;1;Tarde;16;54;Mujer
Jueves;1;Tarde;17;23;Hombre
Jueves;1;Tarde;18;25;Hombre
Jueves;1;Tarde;17;24;Hombre
Jueves;1;Tarde;21;29;Hombre
Jueves;1;Tarde;17;28;Hombre
Jueves;1;Tarde;21;34;Hombre
Viernes;1;Noche;1;29;Mujer
Viernes;1;Noche;1;27;Hombre
Lunes;1;Mañana;8;30;Hombre
Viernes;1;Mañana;6;20;Hombre
Viernes;1;Mañana;6;60;Hombre
Jueves;1;Tarde;21;25;Mujer
Viernes;1;Mañana;9;49;Hombre
Viernes;1;Mañana;13;57;Hombre
Viernes;1;Mañana;13;28;Hombre
Viernes;1;Tarde;14;52;Mujer
Viernes;1;Mañana;12;31;Hombre
Viernes;1;Tarde;14;20;Hombre
Viernes;1;Tarde;17;28;Hombre
Viernes;1;Tarde;18;52;Hombre
Viernes;1;Tarde;20;56;Mujer
